word,frequency
give,76666291
went,70837039
during,29342950
glass,17532597
onto,17036588
spoke,16706258
official,16581477
ensure,16208424
depending,11605906
revolution,11342042
maybe,11330578
artist,10763846
totally,10606377
remarkable,9875525
constitute,9590869
nervous,9432728
friendly,8675704
twentieth,8385433
present,8171370
plastic,7606002
stepped,7234745
primitive,7208386
reasonably,7100619
bearing,7087371
shorter,6143114
mid,6141075
shirt,6043729
push,5914131
regulatory,5864785
historic,5627358
elaborate,5612365
protective,5504744
dual,5198225
usually,4976684
shed,4963963
shifting,4919678
accommodate,4860199
surprisingly,4802370
wrapped,4727024
luke,4720936
unless,4668451
capture,4612921
reversed,4541227
believing,4528480
seventeenth,4470531
suddenly,4465011
sons,4443433
periodic,4366046
dominance,4317427
tragic,4206956
unto,4152450
struggling,4113116
viable,4098270
throwing,4043103
financial,3916549
base,3849463
fusion,3813210
faint,3767892
invite,3689357
fascinating,3663197
facial,3638657
prize,3552543
breeding,3499704
engaging,3400707
tourist,3336065
absorb,3286082
separating,3271032
jerry,3239848
carol,3181197
soup,3088673
glimpse,2985305
dictionary,2984500
swung,2932708
exceeding,2926394
ashamed,2902733
lowering,2898419
magical,2855277
unprecedented,2849539
scattered,2845969
expressive,2835590
repression,2825458
waved,2810841
technically,2801996
sliding,2797798
finished,2771188
routinely,2700514
mystical,2676428
randomly,2645754
consecutive,2623441
swiss,2580442
digital,2519286
forgiveness,2501444
moderately,2474625
polymer,2460517
pouring,2437730
strengthening,2426173
ranked,2397332
stove,2385300
internal,2369269
stern,2297811
talented,2285492
veil,2281751
courtyard,2264084
undertook,2260181
originally,2244179
template,2204596
inexpensive,2201854
rushing,2185250
arctic,2165091
advocacy,2160430
lazy,2155103
unexpectedly,2136114
hello,2135372
gastric,2124347
balloon,2119934
strangely,2117910
fascinated,2117499
distinguishing,2116863
cardinal,2096490
photo,2079630
bobby,2071464
stepping,2071264
fascination,2055934
designate,2029349
intrusion,2014183
sink,2005088
drastically,2000968
advisory,1999181
drag,1958107
concerning,1949638
graceful,1949576
hopefully,1916376
ceramic,1908263
wretched,1873484
ending,1862997
adversely,1861545
nasty,1851542
painfully,1819786
maritime,1819285
speculate,1818443
extraordinarily,1788158
approximately,1754009
secondly,1721935
subsequent,1717436
redundant,1709181
enlightenment,1704309
contradict,1697003
shiny,1688108
habitual,1668671
rugged,1667199
weeping,1660249
skies,1647552
nickel,1642052
saving,1640734
pierce,1633165
fiercely,1618976
gazing,1613451
spoon,1577817
disrupt,1569118
enlarge,1565185
wade,1560900
dining,1557554
closeness,1556160
amateur,1552682
organizational,1538077
allied,1535751
swore,1534240
canoe,1532304
spell,1525923
interstate,1509868
repay,1508035
costing,1507447
carpenter,1502282
preferential,1487554
acutely,1479779
twisting,1476468
semiconductor,1449731
concerted,1448677
phenomenal,1442043
spacious,1424446
amenable,1416742
unworthy,1411000
southwest,1404039
distressed,1399813
poised,1393328
rebellious,1386415
alternately,1385040
doubly,1382037
anxiously,1380547
tubular,1371417
admittedly,1368746
chemically,1365029
ambulance,1361672
hardness,1357964
clinician,1354900
drop,1352371
warmed,1343491
creeping,1340628
confidentiality,1337251
wrongly,1336755
wrap,1326346
aggressively,1325648
freezing,1324558
autobiography,1323557
meta,1320114
sorted,1313683
snatched,1308789
drilling,1307817
visualization,1299212
